age_group,occupation,gender,smartphone_type,screen_time,daily_app_categories,most_used_category,ad_frequency,frequent_ad_format,most_excessive_ad_category,ads_interrupt_usage,ads_cause_frustration,ads_reduce_enjoyment,ads_close_app,ads_uninstall_app,tolerated_ad_format,most_annoying_ad_time,pay_for_adfree,ads_interrupt_usage_score,ads_cause_frustration_score,ads_reduce_enjoyment_score,ads_close_app_score,ad_fatigue_index
Below 18,Student,Male,iOS,More than 6 hours,"Social Media, Video / OTT, Gaming, Shopping / E-commerce, News / Reading, Utility / Tools, Education","Video / OTT, Gaming, News / Reading, Education",Often,Sponsored posts,Education,Agree,Strongly disagree,Agree,Disagree,Yes,,Afternoon,Yes,4.0,1.0,4.0,2.0,2.75
Below 18,Student,Prefer not to say,Android,More than 6 hours,"Gaming, Shopping / E-commerce, News / Reading, Education","Video / OTT, Gaming, Utility / Tools, Education",Sometimes,Banner ads,Gaming,Agree,Agree,Strongly disagree,Strongly disagree,No,Skippable video ads,Late night,Yes,4.0,4.0,1.0,1.0,2.5
35–44,Self-employed,Female,iOS,4–6 hours,"Shopping / E-commerce, News / Reading, Utility / Tools","Social Media, Video / OTT, Gaming, Shopping / E-commerce",Often,Banner ads,Video / OTT,Disagree,Neutral,Disagree,Strongly agree,No,Sponsored content,Late night,Yes,2.0,3.0,2.0,5.0,3.0
18–24,Working professional,Female,Android,4–6 hours,"Social Media, Gaming, News / Reading, Utility / Tools, Education","Video / OTT, Gaming, Utility / Tools, Education",Often,Unskippable ads,News / Reading,Strongly disagree,Disagree,Strongly agree,Neutral,Yes,,Late night,No,1.0,2.0,5.0,3.0,2.75
35–44,Working professional,Female,Android,4–6 hours,"Social Media, Gaming, Utility / Tools, Education","Social Media, Video / OTT, Education",Often,Unskippable ads,Education,Strongly agree,Neutral,Neutral,Agree,No,Sponsored content,Late night,No,5.0,3.0,3.0,4.0,3.75
Below 18,Working professional,Prefer not to say,Android,2–4 hours,"Video / OTT, Gaming, News / Reading","Video / OTT, Gaming, Education",Very often,Sponsored posts,Video / OTT,Disagree,Disagree,Disagree,Agree,No,,Afternoon,Yes,2.0,2.0,2.0,4.0,2.5
45+,Student,Male,iOS,Less than 2 hours,"Social Media, Gaming, Shopping / E-commerce, News / Reading","Social Media, Gaming, Shopping / E-commerce, Utility / Tools, Education",Sometimes,Banner ads,News / Reading,Agree,Disagree,Strongly agree,Strongly agree,No,Sponsored content,Afternoon,Yes,4.0,2.0,5.0,5.0,4.0
Below 18,Other,Male,Android,2–4 hours,"Gaming, News / Reading, Education","Social Media, Video / OTT, News / Reading",Rarely,Unskippable ads,Gaming,Neutral,Strongly agree,Strongly agree,Strongly agree,Yes,,Morning,Yes,3.0,5.0,5.0,5.0,4.5
25–34,Student,Male,iOS,4–6 hours,"Social Media, News / Reading, Education","Social Media, Gaming, Shopping / E-commerce, News / Reading",Sometimes,Rewarded ads,News / Reading,Neutral,Agree,Disagree,Disagree,No,Rewarded ads,Morning,No,3.0,4.0,2.0,2.0,2.75
35–44,Working professional,Prefer not to say,Android,More than 6 hours,"Gaming, News / Reading, Education","Social Media, Video / OTT, Shopping / E-commerce",Sometimes,Unskippable ads,Social Media,Strongly disagree,Agree,Agree,Disagree,No,Skippable video ads,Evening,No,1.0,4.0,4.0,2.0,2.75
25–34,Working professional,Male,Android,4–6 hours,"Social Media, Shopping / E-commerce, Utility / Tools, Education","Social Media, Gaming, Shopping / E-commerce, Education",Rarely,Banner ads,News / Reading,Disagree,Strongly disagree,Disagree,Agree,No,Skippable video ads,Morning,No,2.0,1.0,2.0,4.0,2.25
18–24,Student,Female,Android,More than 6 hours,"Social Media, Utility / Tools, Education","Social Media, Video / OTT, Gaming, Shopping / E-commerce, News / Reading, Education",Rarely,Rewarded ads,Video / OTT,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,No,Rewarded ads,Morning,No,1.0,5.0,5.0,1.0,3.0
18–24,Working professional,Prefer not to say,iOS,More than 6 hours,"Gaming, Shopping / E-commerce","Social Media, Video / OTT, Gaming, Shopping / E-commerce, News / Reading",Sometimes,Unskippable ads,Gaming,Agree,Strongly disagree,Strongly disagree,Agree,Yes,Sponsored content,Afternoon,Yes,4.0,1.0,1.0,4.0,2.5
45+,Self-employed,Female,Android,Less than 2 hours,"Gaming, Shopping / E-commerce, News / Reading","Gaming, Shopping / E-commerce, News / Reading",Rarely,Sponsored posts,Shopping / E-commerce,Agree,Strongly disagree,Agree,Agree,No,Rewarded ads,Morning,Yes,4.0,1.0,4.0,4.0,3.25
35–44,Working professional,Female,iOS,2–4 hours,"Video / OTT, Shopping / E-commerce, News / Reading","Shopping / E-commerce, News / Reading, Education",Sometimes,Unskippable ads,Shopping / E-commerce,Disagree,Neutral,Neutral,Neutral,Yes,Sponsored content,Afternoon,Yes,2.0,3.0,3.0,3.0,2.75
